trace,dancrc2-config1,lru-config1,red-config1,ship++-config1,srrip-config1
GemsFDTD_712B.trace.gz,0.0005,0.2849,0.1365,0.1745,0.2726
astar_23B.trace.gz,0.9122,0.9136,0.9124,0.9116,0.9116
bwaves_98B.trace.gz,0.0007,0.0007,0.0007,0.0007,0.0007
bzip2_183B.trace.gz,0.569,0.7394,0.7403,0.7392,0.736
cactusADM_734B.trace.gz,0.0013,0.2392,0.2268,0.1862,0.2406
calculix_2655B.trace.gz,0.8551,0.8657,0.8572,0.8646,0.8586
gamess_196B.trace.gz,0,0.0015,0.0015,0.0015,0.0015
gcc_13B.trace.gz,0.0024,0.3761,0.1594,0.1723,0.3494
gobmk_60B.trace.gz,0.1182,0.3842,0.3842,0.3842,0.3842
gromacs_0B.trace.gz,0.1017,0.2321,0.2321,0.2321,0.2321
h264ref_178B.trace.gz,0.0477,0.3439,0.3439,0.3439,0.3439
hmmer_7B.trace.gz,0.1883,0.5064,0.507,0.3867,0.4671
lbm_94B.trace.gz,0.0118,0.4398,0.1592,0.2829,0.4168
leslie3d_94B.trace.gz,0.1359,0.2612,0.3442,0.3728,0.3203
libquantum_964B.trace.gz,0.0001,0.0607,0.0003,0.0037,0.0607
mcf_46B.trace.gz,0.4332,0.3812,0.4253,0.4341,0.402
milc_360B.trace.gz,0.0001,0.3077,0.3077,0.0032,0.2655
namd_400B.trace.gz,0,0,0,0,0
omnetpp_4B.trace.gz,0.6219,0.759,0.7621,0.8504,0.7529
perlbench_53B.trace.gz,0.6235,0.7966,0.798,0.7977,0.7982
povray_250B.trace.gz,0.1349,0.4841,0.4841,0.4841,0.4841
sjeng_358B.trace.gz,0.0133,0.2025,0.2025,0.2025,0.2025
soplex_66B.trace.gz,0.1556,0.4812,0.4686,0.5151,0.5178
sphinx3_883B.trace.gz,0.1305,0.1614,0.3329,0.2806,0.2012
tonto_2049B.trace.gz,0.0693,0.289,0.289,0.289,0.289
wrf_1212B.trace.gz,0.0226,0.2742,0.2742,0.2742,0.2742
xalancbmk_99B.trace.gz,0.0196,0.0946,0.1473,0.2246,0.1156
zeusmp_100B.trace.gz,0.0335,0.277,0.2769,0.1852,0.2767
