trace,total_accesses,hits,misses,hit_rate
GemsFDTD_109B.trace.gz,385451,151,385300,0.0004
GemsFDTD_712B.trace.gz,526821,255,526566,0.0005
GemsFDTD_716B.trace.gz,217537,66722,150815,0.3067
astar_163B.trace.gz,50839,16815,34024,0.3308
astar_23B.trace.gz,275774,251563,24211,0.9122
astar_313B.trace.gz,1128784,41873,1086911,0.0371
bwaves_1609B.trace.gz,233750,136,233614,0.0006
bwaves_1861B.trace.gz,233643,175,233468,0.0007
bwaves_98B.trace.gz,1500,1,1499,0.0007
bzip2_183B.trace.gz,90593,51546,39047,0.5690
bzip2_259B.trace.gz,47217,433,46784,0.0092
bzip2_281B.trace.gz,127994,63970,64024,0.4998
cactusADM_1039B.trace.gz,130126,94,130032,0.0007
cactusADM_1495B.trace.gz,130800,211,130589,0.0016
cactusADM_734B.trace.gz,130145,163,129982,0.0013
calculix_2655B.trace.gz,107138,91615,15523,0.8551
calculix_2670B.trace.gz,437,0,437,0.0000
calculix_3812B.trace.gz,122143,106066,16077,0.8684
gamess_196B.trace.gz,672,0,672,0.0000
gamess_247B.trace.gz,1603,83,1520,0.0518
gamess_316B.trace.gz,846,0,846,0.0000
gcc_13B.trace.gz,705613,1669,703944,0.0024
gcc_39B.trace.gz,2762,6,2756,0.0022
gcc_56B.trace.gz,2149062,2143770,5292,0.9975
gobmk_135B.trace.gz,40096,11352,28744,0.2831
gobmk_60B.trace.gz,13694,1619,12075,0.1182
gobmk_76B.trace.gz,67219,48153,19066,0.7164
gromacs_0B.trace.gz,2477,252,2225,0.1017
gromacs_1B.trace.gz,23559,6025,17534,0.2557
h264ref_178B.trace.gz,22977,1096,21881,0.0477
h264ref_273B.trace.gz,31021,2329,28692,0.0751
h264ref_351B.trace.gz,32548,2324,30224,0.0714
hmmer_397B.trace.gz,63281,275,63006,0.0043
hmmer_546B.trace.gz,64632,35372,29260,0.5473
hmmer_7B.trace.gz,65561,12345,53216,0.1883
lbm_1004B.trace.gz,530776,7596,523180,0.0143
lbm_564B.trace.gz,528393,6126,522267,0.0116
lbm_94B.trace.gz,591956,6997,584959,0.0118
leslie3d_1116B.trace.gz,189866,362,189504,0.0019
leslie3d_1186B.trace.gz,282636,20503,262133,0.0725
leslie3d_94B.trace.gz,279889,38036,241853,0.1359
libquantum_1210B.trace.gz,390108,34,390074,0.0001
libquantum_1735B.trace.gz,387654,34,387620,0.0001
libquantum_964B.trace.gz,294667,29,294638,0.0001
mcf_158B.trace.gz,1469251,783412,685839,0.5332
mcf_250B.trace.gz,1427521,735404,692117,0.5152
mcf_46B.trace.gz,1127556,488451,639105,0.4332
milc_360B.trace.gz,224140,14,224126,0.0001
milc_409B.trace.gz,552388,146,552242,0.0003
milc_744B.trace.gz,173922,119,173803,0.0007
namd_1907B.trace.gz,2958,76,2882,0.0257
namd_400B.trace.gz,465,0,465,0.0000
namd_851B.trace.gz,1565,4,1561,0.0026
omnetpp_17B.trace.gz,167649,1433,166216,0.0085
omnetpp_340B.trace.gz,313582,42145,271437,0.1344
omnetpp_4B.trace.gz,312461,194319,118142,0.6219
perlbench_105B.trace.gz,175,0,175,0.0000
perlbench_135B.trace.gz,69569,34461,35108,0.4953
perlbench_53B.trace.gz,81805,51005,30800,0.6235
povray_250B.trace.gz,1312,177,1135,0.1349
povray_437B.trace.gz,1413,33,1380,0.0234
povray_711B.trace.gz,810,35,775,0.0432
sjeng_1109B.trace.gz,5693,67,5626,0.0118
sjeng_1966B.trace.gz,5753,83,5670,0.0144
sjeng_358B.trace.gz,4967,66,4901,0.0133
soplex_205B.trace.gz,741517,167293,574224,0.2256
soplex_217B.trace.gz,752726,303850,448876,0.4037
soplex_66B.trace.gz,548629,85372,463257,0.1556
sphinx3_1339B.trace.gz,152386,18844,133542,0.1237
sphinx3_2520B.trace.gz,152838,26377,126461,0.1726
sphinx3_883B.trace.gz,165587,21610,143977,0.1305
tonto_2049B.trace.gz,7894,547,7347,0.0693
tonto_2834B.trace.gz,5687,1352,4335,0.2377
tonto_422B.trace.gz,100450,66877,33573,0.6658
wrf_1212B.trace.gz,11674,264,11410,0.0226
wrf_1228B.trace.gz,339699,2732,336967,0.0080
wrf_1650B.trace.gz,18424,238,18186,0.0129
xalancbmk_748B.trace.gz,67325,11787,55538,0.1751
xalancbmk_768B.trace.gz,187542,154403,33139,0.8233
xalancbmk_99B.trace.gz,319324,6274,313050,0.0196
zeusmp_100B.trace.gz,53707,1798,51909,0.0335
zeusmp_300B.trace.gz,61904,12572,49332,0.2031
zeusmp_600B.trace.gz,40964,197,40767,0.0048
